,cloneID,plantID,site,transect,recorder,measurer,h_apical,l_length,l_width,stem_width,N_umbels,N_leaves,herb0,herb1,herb2,herb3,herb4,herb5,herb6,notes,herb_avg,alive,height_next,goodpods,badpods,totLA,repSuccess,repAllocation
25,25,4203,BLD1,42,ks,ss,46.1,11.4,5.1,5.1,0,10,9,0,1,0,0,0,0,NA,0.2,0,NA,NA,NA,581.4,0,0
26,26,4206,BLD1,42,ks,ss,44.4,13.6,5.5,4.5,0,10,8,2,0,0,0,0,0,NA,0.2,1,54.4,0,0,748,0,0
27,27,4210,BLD1,42,hd,yy,38.5,13.8,4.7,4.1,0,6,6,0,0,0,0,0,0,NA,0,0,NA,NA,NA,389.16,0,0
28,28,4214,BLD1,42,hd,yy,68.4,13.5,5.2,9.5,3,15,15,0,0,0,0,0,0,NA,0,1,84.1,0,0,1053,0,0
29,29,4219,BLD1,42,hd,yy,22.1,8,3.9,6.3,0,2,2,0,0,0,0,0,0,NA,0,0,NA,NA,NA,62.4,0,0
30,30,4223,BLD1,42,hd,yy,25.1,NA,NA,5.1,0,0,0,0,0,0,0,0,0,all leaves smaller than 5 cm,0,0,NA,NA,NA,NA,0,0
31,31,4224,BLD1,42,hd,yy,47,14.9,7.2,8.8,0,11,8,2,1,0,0,0,0,NA,0.363636364,0,NA,NA,NA,1180.08,0,0
32,32,4227,BLD1,42,hd,yy,36.4,9.4,4.6,4.6,0,7,7,0,0,0,0,0,0,NA,0,0,NA,NA,NA,302.68,0,0
33,33,4230,BLD1,42,hd,yy,33.2,8.9,4.3,5.8,0,7,7,0,0,0,0,0,0,NA,0,1,69.5,0,0,267.89,0,0
34,34,4235,BLD1,42,hd,yy,39.3,10.4,4.2,3.5,0,6,6,0,0,0,0,0,0,NA,0,0,NA,NA,NA,262.08,0,0
35,35,4239,BLD1,42,hd,yy,47.3,10.9,5.3,5.6,0,8,8,0,0,0,0,0,0,NA,0,0,NA,NA,NA,462.16,0,0
36,36,4240,BLD1,42,ks,ss,30.7,6.7,3.6,6.8,0,6,6,0,0,0,0,0,0,NA,0,1,55.4,0,0,144.72,0,0
37,37,4241,BLD1,42,ks,ss,45.3,8.7,4.5,8,0,8,8,0,0,0,0,0,0,NA,0,1,85.7,0,0,313.2,0,0
38,38,4243,BLD1,42,ks,ss,30.1,6,3.1,7.1,0,4,4,0,0,0,0,0,0,NA,0,1,59.1,0,0,74.4,0,0
39,39,4247,BLD1,42,ks,ss,39.4,10.5,5.1,4.1,0,11,10,1,0,0,0,0,0,NA,0.090909091,0,NA,NA,NA,589.05,0,0
40,40,4250,BLD1,42,ss,ks,60.8,12.8,5.7,8.5,2,16,14,2,0,0,0,0,0,NA,0.125,0,NA,NA,NA,1167.36,0,0
41,41,4251,BLD1,42,ss,ks,54,14.6,6.2,9.6,0,15,13,1,1,0,0,0,0,NA,0.2,1,60.6,0,0,1357.8,0,0
42,42,4252,BLD1,42,ss,ks,37.7,6.7,3.2,6.1,0,8,7,1,0,0,0,0,0,NA,0.125,1,48,0,0,171.52,0,0
43,43,4254,BLD1,42,ss,ks,60.6,17.3,8.2,13.1,2,16,14,2,0,0,0,0,0,NA,0.125,1,72.1,0,0,2269.76,0,0
