number,Spectra,Site,N,C,LMA,ADF,ADL,Cellulose,NDWI,Chl_g_m2,PRI,Cardenolides
183,187_pwr_80_810_150613_497,PWR,2.79,42.68,9.49,21.57,27.51,16.06,0.0466,0.3395,0.0403,1.78
184,188_pwr_80_813_150613_519,PWR,3.07,42.32,17.03,18.33,24.9,16.37,0.037,0.2924,0.0139,4.43
185,189_pwr_80_8161_150613_500,PWR,3.02,43.15,8.96,24.86,29.61,17.75,0.0539,0.3497,0.0568,1.74
186,190_pwr_80_849_150613_509,PWR,2.26,42.88,33.09,21.76,27.72,17.26,0.0541,0.2129,0.0268,2.34
187,191_pwr_81_1800_150613_429,PWR,2.81,44.83,41.75,32.85,25.98,20.35,0.0507,0.2984,0.0089,2.09
188,192_pwr_81_1803_150613_371.6666667,PWR,2.6,44.87,61.53,28.61,21.75,19.28,0.0539,0.3009,-0.0002,2.09
189,193_pwr_81_1805_150613_399.3333333,PWR,2.65,44.85,48.63,30.93,24.45,20.61,0.0565,0.3159,0.0038,1.95
190,194_pwr_81_1806_150613_381,PWR,2.47,43.55,22.46,25.03,21.19,17.07,0.045,0.2531,0.0057,2.2
191,195_pwr_81_1807_150613_389,PWR,2.67,44.65,42.66,28.87,22.29,19,0.053,0.2753,0.0164,1.2
192,196_pwr_81_1808_150613_387,PWR,2.48,44.38,40.84,28.88,23.04,18.25,0.0511,0.2452,-0.0139,1.76
193,197_pwr_81_1809_150613_432.3333333,PWR,3.2,44.91,48.37,32.48,27.92,20.39,0.051,0.3643,0.025,1.53
194,198_pwr_81_1810_150613_426,PWR,3.15,44.59,52.05,27.93,23.58,18.77,0.041,0.3449,0.0029,2.62
195,199_pwr_81_1812_150613_378,PWR,2.36,44.06,27.16,28.61,22.45,18.14,0.0527,0.2196,0.0212,1.3
196,200_pwr_81_1813_150613_368,PWR,2.94,44.13,48.71,28.84,22.74,19.71,0.0501,0.3149,-0.0005,2.14
197,201_pwr_81_1814_150613_439,PWR,2.45,44.97,53.23,29.73,24.31,19.97,0.0564,0.3175,0.0051,1.74
198,202_pwr_81_1815_150613_407,PWR,3.03,44.93,50.73,29.05,25.23,19.76,0.0537,0.3444,0.0129,2.34
199,204_pwr_81_1817_150613_416.5,PWR,3.03,45.01,43.78,28.69,22.17,19.75,0.0447,0.3305,-0.0135,1.68
200,205_pwr_81_1818_150613_393,PWR,2.49,45.97,72.4,36.37,26.85,21.92,0.0626,0.2959,-0.0101,1.75
201,206_pwr_81_1824_150613_410,PWR,3.11,45.11,59.61,30.83,25.23,19.97,0.0455,0.3343,-0.003,1.75
202,207_pwr_81_1828_150613_420,PWR,2.55,44.98,70.43,31.76,26.4,21.26,0.0594,0.3065,0.0175,2.54
